Prompt_Name,CVE_ID,CWE_ID,repo_url,commit_ID,file_name,patch-,patch+,line_num
PyVul4LLMSec_1,CVE-2023-28836,CWE-79,https://github.com/wagtail/wagtail,ff806ab173a504395fdfb3139eb0a29444ab4b91,wagtail/contrib/modeladmin/views.py,"            return mark_safe(
                '<a href=""%s"">%s <span class=""meta"">(%s, %s)</span></a>'
                % (
                    document.url,
                    document.title,
                    document.file_extension.upper(),
                    filesizeformat(document.file.size),
                )
         ","   return format_html(
                '<a href=""{}"">{} <span class=""meta"">({}, {})</span></a>',
                document.url,
                document.title,
                document.file_extension.upper(),
                filesizeformat(document.file.size),",
PyVul4LLMSec_2,CVE-2023-28836,CWE-79,https://github.com/wagtail/wagtail,5be2b1ed55fd7259dfdf2c82e7701dba407b8b62,wagtail/contrib/modeladmin/forms.py," return mark_safe('<span class=""icon icon-arrow-right""></span>'.join(bits))","return "" | "".join(bits)",
PyVul4LLMSec_3,CVE-2023-27494,CWE-79,https://github.com/streamlit/streamlit,afcf880c60e5d7538936cc2d9721b9e1bc02b075,lib/streamlit/components/v1/components.py,"   self.write(f""{path} not found"")","self.write(""not found"")",
PyVul4LLMSec_4,CVE-2023-27494,CWE-79,https://github.com/streamlit/streamlit,afcf880c60e5d7538936cc2d9721b9e1bc02b075,lib/streamlit/components/v1/components.py," self.write(f""{path} read error: {e}"")"," LOGGER.error(f""ComponentRequestHandler: GET {path} read error"", exc_info=e)
            self.write(""read error"")",
PyVul4LLMSec_5,CVE-2023-27494,CWE-79,https://github.com/streamlit/streamlit,afcf880c60e5d7538936cc2d9721b9e1bc02b075,lib/streamlit/server/routes.py," raise tornado.web.HTTPError(404, ""%s not found"", absolute_path)","raise tornado.web.HTTPError(404, ""not found"")",
PyVul4LLMSec_6,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py,  template = env.get_template('generate_new.html'), template = unsafe_env.get_template('generate_new.html'),
PyVul4LLMSec_7,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py,template = env.get_template('error.html'), template = unsafe_env.get_template('error.html'),
PyVul4LLMSec_8,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py,  template = env.get_template('manage_new.html'),template = unsafe_env.get_template('manage_new.html'),
PyVul4LLMSec_9,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py,   template = env.get_template('manage.html'),  template = unsafe_env.get_template('manage.html'),
PyVul4LLMSec_10,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py, template = env.get_template('manage.html'), template = unsafe_env.get_template('manage.html'),
PyVul4LLMSec_11,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py, template = env.get_template('manage.html'), template = unsafe_env.get_template('manage.html'),
PyVul4LLMSec_12,CVE-2023-22475,CWE-79,https://github.com/thinkst/canarytokens,fb612906f2217bbb8863199694891d16e20bad3e,httpd_site.py,  template = env.get_template('legal.html'),template = unsafe_env.get_template('legal.html'),
PyVul4LLMSec_13,CVE-2022-4527,CWE-79,https://github.com/collective/collective.task,1aac7f83fa2c2b41d59ba02748912953461f3fac,src/collective/task/browser/table.py,  return member.getUser().getProperty('fullname').decode('utf-8'),  return escape(member.getUser().getProperty('fullname').decode('utf-8')),
